1	AT1G01010.1	+	CG	6	82	142	1800	CHG	0	109	18	2652	CHH	0	378	43	8807	CG	0.99982754646144	1	CHG	0.856422966239965	1	CHH	1	1
1	AT1G01020.1	-	CG	6	41	112	977	CHG	0	49	6	1252	CHH	0	196	19	4863	CG	0.891035587619611	1	CHG	0.582097568711348	1	CHH	1	1
1	AT1G01030.1	-	CG	1	98	11	1627	CHG	2	76	9	1248	CHH	0	319	15	5299	CG	0.999999999920158	1	CHG	0.388799855888939	1	CHH	1	1
1	AT1G01040.2	+	CG	255	363	5113	8051	CHG	4	408	57	8952	CHH	3	1719	162	34318	CG	0	0	CHG	0.929836576839888	1	CHH	0.999771720916321	1
1	AT1G01050.1	-	CG	9	32	141	788	CHG	2	57	11	1442	CHH	0	196	15	4970	CG	0.219954264009572	0.726315788890232	CHG	0.266449014000626	1	CHH	1	1
1	AT1G01060.7	-	CG	20	94	349	1940	CHG	0	170	16	3548	CHH	0	571	40	11083	CG	0.525888854666294	1	CHG	0.951542401151679	1	CHH	1	1
1	AT1G01070.1	-	CG	4	70	72	2045	CHG	0	47	7	1402	CHH	0	342	35	9100	CG	0.99992378220989	1	CHG	0.566946823545365	1	CHH	1	1
1	AT1G01080.2	-	CG	0	66	4	1470	CHG	0	58	4	1347	CHH	0	259	12	5140	CG	0.999999841707091	1	CHG	0.643978349155724	1	CHH	1	1
1	AT1G01090.1	-	CG	2	76	43	1346	CHG	0	109	8	2000	CHH	0	380	25	6658	CG	0.999999684879811	1	CHG	0.856422966239965	1	CHH	1	1
1	AT1G01100.2	-	CG	0	34	2	807	CHG	0	52	2	978	CHH	0	94	12	1734	CG	0.99968617158218	1	CHG	0.603835640838681	1	CHH	1	1
1	AT1G01110.2	+	CG	6	168	57	3281	CHG	0	124	9	2395	CHH	2	473	43	9320	CG	0.999999999992044	1	CHG	0.890077272363262	1	CHH	0.8710620149212	1
1	AT1G01120.1	-	CG	1	216	19	3729	CHG	1	143	13	2454	CHH	1	385	25	6291	CG	1	1	CHG	0.921628645133062	1	CHH	0.945346410471266	1
1	AT1G01130.1	-	CG	0	40	3	991	CHG	0	33	1	760	CHH	0	95	3	1926	CG	0.999924410496812	1	CHG	0.444344594713091	1	CHH	1	1
1	AT1G01140.3	-	CG	0	115	11	2742	CHG	1	90	15	2214	CHH	1	388	35	9278	CG	0.999999999998586	1	CHG	0.798620564826382	1	CHH	0.946570396258983	1
1	AT1G01150.1	-	CG	4	52	71	1084	CHG	0	54	2	1090	CHH	0	331	28	6450	CG	0.997657054400262	1	CHG	0.617695798380157	1	CHH	1	1
1	AT1G01160.2	+	CG	0	34	2	608	CHG	0	77	6	1347	CHH	0	228	11	3916	CG	0.99968617158218	1	CHG	0.746168060614022	1	CHH	1	1
1	AT1G01170.1	-	CG	0	22	1	636	CHG	0	23	1	656	CHH	0	70	5	1907	CG	0.994590541167722	1	CHG	0.336047214991417	1	CHH	1	1
